Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
1991,Aces,Agricultural Communications,79.0,54.0,25.0,71.0,0.0,5.0,1.0,2.0,0.46
1991,Aces,Agricultural & Applied Econ,443.0,90.0,353.0,362.0,5.0,8.0,4.0,0.0,3.92
1991,Applied Health Sciences,Kinesiology,268.0,125.0,143.0,205.0,18.0,9.0,1.0,1.0,1.14
1991,Las,Biology,109.0,47.0,62.0,98.0,4.0,2.0,4.0,0.0,1.32
1991,Las,Teaching Of English Sec Lang,83.0,61.0,22.0,39.0,3.0,2.0,1.0,0.0,0.36
1991,Las,Statistics,49.0,21.0,28.0,3.0,3.0,0.0,0.0,0.0,1.33
1991,Aces,Nutritional Sciences,41.0,24.0,17.0,26.0,1.0,3.0,0.0,0.0,0.71
1991,Applied Health Sciences,Speech & Hearing Science,123.0,120.0,3.0,106.0,3.0,6.0,4.0,0.0,0.02
1991,Las,Spanish,68.0,45.0,23.0,33.0,1.0,0.0,10.0,0.0,0.51
1991,Education,Secondary Education,31.0,18.0,13.0,28.0,1.0,0.0,2.0,0.0,0.72
1991,Las,Physics,382.0,43.0,339.0,270.0,39.0,3.0,8.0,0.0,7.88
1991,Engineering,Industrial Engineering,169.0,53.0,116.0,122.0,32.0,9.0,4.0,0.0,2.19
1991,Engineering,Mechanical Engineering,1003.0,84.0,919.0,758.0,107.0,41.0,32.0,2.0,10.94
1991,Las,Plant Biology,27.0,16.0,11.0,13.0,1.0,0.0,0.0,0.0,0.69
1991,Las,Sociology,48.0,27.0,21.0,27.0,1.0,0.0,0.0,0.0,0.78
1991,Las,Psychology,195.0,96.0,99.0,134.0,13.0,5.0,3.0,1.0,1.03
1991,Las,Political Science,77.0,29.0,48.0,54.0,3.0,3.0,1.0,0.0,1.66
1991,Las,Philosophy,38.0,8.0,30.0,28.0,0.0,0.0,0.0,1.0,3.75
1991,Las,Molecular & Integrative Physi,61.0,25.0,36.0,27.0,4.0,0.0,0.0,1.0,1.44
1991,Las,Microbiology,69.0,26.0,43.0,41.0,3.0,0.0,2.0,0.0,1.65
1991,Las,Mathematics,205.0,47.0,158.0,112.0,11.0,3.0,1.0,0.0,3.36
1991,Las,Linguistics,99.0,55.0,44.0,25.0,3.0,5.0,0.0,0.0,0.8
1991,Ischool,Library & Information Science,235.0,165.0,70.0,181.0,3.0,10.0,1.0,1.0,0.42
1991,Vetmed,Veterinary Medicine,321.0,200.0,121.0,306.0,4.0,4.0,5.0,1.0,0.6
1991,Vetmed,Vms-Veterinary Clinical Medcne,23.0,12.0,11.0,14.0,0.0,1.0,0.0,0.0,0.92
1991,Social Work,Social Work,326.0,269.0,57.0,268.0,9.0,9.0,6.0,0.0,0.21
1991,Media,Journalism,30.0,21.0,9.0,24.0,1.0,1.0,0.0,0.0,0.43
1991,Las,Communication,36.0,14.0,22.0,18.0,0.0,3.0,4.0,0.0,1.57
1991,Education,Advertising,270.0,194.0,76.0,209.0,7.0,33.0,9.0,2.0,0.39
1991,Law,Law,642.0,221.0,421.0,511.0,16.0,52.0,19.0,4.0,1.9
1991,Las,History,150.0,45.0,105.0,129.0,0.0,3.0,3.0,0.0,2.33
1991,Las,Geology,50.0,13.0,37.0,31.0,1.0,0.0,2.0,0.0,2.85
1991,Fine And Applied Arts,Dance,37.0,33.0,4.0,26.0,0.0,4.0,1.0,0.0,0.12
1991,Fine And Applied Arts,Music,144.0,76.0,68.0,97.0,5.0,6.0,2.0,0.0,0.89
1991,Fine And Applied Arts,Landscape Architecture,149.0,52.0,97.0,125.0,7.0,3.0,6.0,0.0,1.87
1991,Fine And Applied Arts,Graphic Design,120.0,63.0,57.0,97.0,12.0,3.0,4.0,0.0,0.9
1991,Fine And Applied Arts,Art And Design,363.0,199.0,164.0,264.0,50.0,13.0,16.0,3.0,0.82
1991,Fine And Applied Arts,Art Education,87.0,63.0,24.0,60.0,8.0,5.0,3.0,0.0,0.38
1991,Fine And Applied Arts,Architecture,241.0,70.0,171.0,191.0,16.0,6.0,3.0,0.0,2.44
1991,Fine And Applied Arts,Architectural Studies,564.0,184.0,380.0,451.0,56.0,18.0,28.0,0.0,2.07
1991,Engineering,Theoretical & Applied Mechans,52.0,2.0,50.0,28.0,0.0,0.0,1.0,0.0,25.0
1991,Las,Geography,49.0,20.0,29.0,32.0,0.0,2.0,0.0,0.0,1.45
1991,Fine And Applied Arts,Music Education,234.0,135.0,99.0,200.0,11.0,8.0,6.0,0.0,0.73
1991,Fine And Applied Arts,Industrial Design,76.0,25.0,51.0,65.0,6.0,0.0,2.0,0.0,2.04
1991,Fine And Applied Arts,Theatre,24.0,9.0,15.0,22.0,1.0,0.0,0.0,0.0,1.67
1991,Fine And Applied Arts,Urban Planning,168.0,61.0,107.0,135.0,8.0,10.0,7.0,0.0,1.75
1991,Las,French,65.0,46.0,19.0,39.0,1.0,0.0,2.0,0.0,0.41
1991,Las,Entomology,24.0,12.0,12.0,14.0,0.0,0.0,1.0,0.0,1.0
1991,Las,English,142.0,79.0,63.0,121.0,0.0,2.0,0.0,0.0,0.8
