,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
7342,2016,Fine And Applied Arts,Nondegree,194.0,39.0,155.0,38.0,11.0,1.0,2.0,0.0,3.97
7354,2016,Fine And Applied Arts,Art And Design,43.0,28.0,15.0,24.0,4.0,0.0,5.0,0.0,0.54
7351,2016,Fine And Applied Arts,Art Education,39.0,35.0,4.0,23.0,3.0,1.0,7.0,0.0,0.11
7350,2016,Fine And Applied Arts,Architecture,159.0,76.0,83.0,50.0,17.0,3.0,4.0,0.0,1.09
7349,2016,Fine And Applied Arts,Architectural Studies,417.0,176.0,241.0,176.0,47.0,24.0,65.0,0.0,1.37
7276,2016,Fine And Applied Arts,Nondegree,115.0,53.0,62.0,59.0,1.0,5.0,2.0,1.0,1.17
7283,2016,Fine And Applied Arts,Nondegree,29.0,12.0,17.0,17.0,4.0,0.0,4.0,0.0,1.42
7357,2016,Fine And Applied Arts,Graphic Design,159.0,115.0,44.0,83.0,27.0,6.0,17.0,0.0,0.38
7296,2016,Fine And Applied Arts,Nondegree,98.0,44.0,54.0,1.0,0.0,0.0,0.0,0.0,1.23
7356,2016,Fine And Applied Arts,Dance,73.0,64.0,9.0,44.0,1.0,13.0,6.0,0.0,0.14
7359,2016,Fine And Applied Arts,Industrial Design,186.0,106.0,80.0,62.0,34.0,5.0,15.0,0.0,0.75
7434,2016,Fine And Applied Arts,Nondegree,202.0,112.0,90.0,58.0,15.0,9.0,9.0,0.0,0.8
7360,2016,Fine And Applied Arts,Instrumental Music,78.0,48.0,30.0,56.0,6.0,3.0,7.0,0.0,0.62
7468,2016,Fine And Applied Arts,Nondegree,21.0,12.0,9.0,7.0,0.0,1.0,0.0,0.0,0.75
7375,2016,Fine And Applied Arts,Urban Planning,101.0,55.0,46.0,34.0,8.0,5.0,8.0,0.0,0.84
7379,2016,Fine And Applied Arts,Nondegree,38.0,19.0,19.0,33.0,1.0,1.0,0.0,0.0,1.0
7376,2016,Fine And Applied Arts,Urban Studies & Planning,43.0,19.0,24.0,20.0,2.0,1.0,7.0,0.0,1.26
7374,2016,Fine And Applied Arts,Theatre,181.0,102.0,79.0,124.0,5.0,20.0,14.0,1.0,0.77
7371,2016,Fine And Applied Arts,Photography,21.0,18.0,3.0,11.0,0.0,3.0,4.0,0.0,0.17
7370,2016,Fine And Applied Arts,Painting,30.0,24.0,6.0,13.0,2.0,5.0,2.0,0.0,0.25
7368,2016,Fine And Applied Arts,Nondegree,32.0,16.0,16.0,6.0,2.0,1.0,1.0,0.0,1.0
7365,2016,Fine And Applied Arts,Music Education,181.0,106.0,75.0,144.0,13.0,5.0,16.0,0.0,0.71
7363,2016,Fine And Applied Arts,Music,348.0,155.0,193.0,167.0,21.0,9.0,20.0,0.0,1.25
7362,2016,Fine And Applied Arts,Landscape Architecture,132.0,88.0,44.0,35.0,5.0,0.0,10.0,0.0,0.5
7377,2016,Fine And Applied Arts,Voice,26.0,16.0,10.0,18.0,0.0,3.0,5.0,0.0,0.62
7361,2016,Fine And Applied Arts,Jazz Performance,37.0,5.0,32.0,21.0,3.0,7.0,0.0,0.0,6.4
7129,2015,Fine And Applied Arts,Art Education,42.0,33.0,9.0,24.0,4.0,0.0,7.0,0.0,0.27
7128,2015,Fine And Applied Arts,Architecture,172.0,67.0,105.0,80.0,17.0,1.0,6.0,0.0,1.57
7127,2015,Fine And Applied Arts,Architectural Studies,402.0,182.0,220.0,177.0,47.0,17.0,53.0,1.0,1.21
7121,2015,Fine And Applied Arts,Nondegree,218.0,46.0,172.0,37.0,6.0,1.0,2.0,0.0,3.74
7055,2015,Fine And Applied Arts,Nondegree,119.0,51.0,68.0,68.0,1.0,3.0,2.0,1.0,1.33
7062,2015,Fine And Applied Arts,Nondegree,21.0,11.0,10.0,12.0,3.0,0.0,1.0,0.0,0.91
7075,2015,Fine And Applied Arts,Nondegree,78.0,33.0,45.0,0.0,0.0,1.0,0.0,0.0,1.36
7134,2015,Fine And Applied Arts,Dance,70.0,57.0,13.0,44.0,3.0,12.0,4.0,0.0,0.23
7132,2015,Fine And Applied Arts,Art And Design,42.0,29.0,13.0,27.0,1.0,0.0,4.0,0.0,0.45
7211,2015,Fine And Applied Arts,Nondegree,213.0,115.0,98.0,70.0,14.0,4.0,4.0,0.0,0.85
7135,2015,Fine And Applied Arts,Graphic Design,94.0,75.0,19.0,60.0,12.0,2.0,7.0,0.0,0.25
7249,2015,Fine And Applied Arts,Nondegree,22.0,13.0,9.0,4.0,0.0,0.0,1.0,0.0,0.69
7148,2015,Fine And Applied Arts,Painting,20.0,16.0,4.0,9.0,0.0,4.0,0.0,0.0,0.25
7156,2015,Fine And Applied Arts,Nondegree,46.0,21.0,25.0,36.0,2.0,2.0,0.0,0.0,1.19
7154,2015,Fine And Applied Arts,Voice,28.0,22.0,6.0,20.0,0.0,2.0,4.0,0.0,0.27
7153,2015,Fine And Applied Arts,Urban Planning,142.0,80.0,62.0,63.0,9.0,10.0,7.0,0.0,0.78
7146,2015,Fine And Applied Arts,Nondegree,30.0,15.0,15.0,6.0,0.0,3.0,2.0,0.0,1.0
7143,2015,Fine And Applied Arts,Music Education,180.0,106.0,74.0,139.0,9.0,6.0,18.0,0.0,0.7
7141,2015,Fine And Applied Arts,Music,341.0,164.0,177.0,164.0,17.0,6.0,19.0,0.0,1.08
7140,2015,Fine And Applied Arts,Landscape Architecture,127.0,86.0,41.0,40.0,4.0,1.0,8.0,0.0,0.48
7139,2015,Fine And Applied Arts,Jazz Performance,31.0,1.0,30.0,20.0,1.0,6.0,0.0,0.0,30.0
7138,2015,Fine And Applied Arts,Instrumental Music,76.0,43.0,33.0,44.0,8.0,4.0,8.0,0.0,0.77
7137,2015,Fine And Applied Arts,Industrial Design,132.0,79.0,53.0,48.0,26.0,5.0,11.0,0.0,0.67
7152,2015,Fine And Applied Arts,Theatre,160.0,88.0,72.0,108.0,2.0,16.0,18.0,1.0,0.82
6909,2014,Fine And Applied Arts,Art And Design,37.0,26.0,11.0,24.0,0.0,0.0,3.0,0.0,0.42
6906,2014,Fine And Applied Arts,Art Education,49.0,36.0,13.0,32.0,3.0,1.0,6.0,0.0,0.36
6905,2014,Fine And Applied Arts,Architecture,158.0,61.0,97.0,82.0,12.0,2.0,11.0,0.0,1.59
