,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
2688,1993,Engineering,Computer Engineering,383,34,349,249,84,25,19,0,10.27
2687,1993,Engineering,Civil Engineering,1121,192,929,821,101,26,45,1,4.84
2701,1993,Engineering,Theoretical & Applied Mechans,52,3,49,25,1,1,1,0,16.34
2463,1992,Engineering,Computer Science,782,100,682,458,110,27,16,1,6.82
2501,1992,Engineering,Industrial Engineering,153,41,112,111,22,9,2,0,2.74
2499,1992,Engineering,Electrical Engineering,1524,168,1356,923,360,54,44,1,8.08
2493,1992,Engineering,Computer Engineering,326,28,298,220,59,25,18,0,10.65
2492,1992,Engineering,Civil Engineering,934,152,782,707,72,21,29,1,5.15
2488,1992,Engineering,Aerospace Engineering,392,45,347,303,40,13,15,0,7.72
2503,1992,Engineering,Mechanical Engineering,989,88,901,744,119,40,29,2,10.24
2506,1992,Engineering,Theoretical & Applied Mechans,55,4,51,28,0,0,1,0,12.75
2268,1991,Engineering,Computer Science,788,110,678,476,101,29,8,1,6.17
2305,1991,Engineering,Electrical Engineering,1516,163,1353,945,337,47,42,1,8.31
2299,1991,Engineering,Computer Engineering,302,24,278,204,59,21,12,0,11.59
2298,1991,Engineering,Civil Engineering,819,135,684,628,56,19,21,0,5.07
2294,1991,Engineering,Aerospace Engineering,442,45,397,338,39,15,20,1,8.83
2307,1991,Engineering,Industrial Engineering,169,53,116,122,32,9,4,0,2.19
2309,1991,Engineering,Mechanical Engineering,1003,84,919,758,107,41,32,2,10.95
2312,1991,Engineering,Theoretical & Applied Mechans,52,2,50,28,0,0,1,0,25
2100,1990,Engineering,Computer Engineering,301,30,271,207,57,20,11,1,9.04
2106,1990,Engineering,Electrical Engineering,1576,172,1404,990,333,60,49,0,8.17
2101,1990,Engineering,Computer Science,785,117,668,485,99,32,12,0,5.71
2099,1990,Engineering,Civil Engineering,749,102,647,567,41,13,14,1,6.35
2095,1990,Engineering,Aerospace Engineering,479,49,430,366,42,15,28,1,8.78
2108,1990,Engineering,Industrial Engineering,215,67,148,150,39,16,5,1,2.21
2110,1990,Engineering,Mechanical Engineering,933,80,853,720,85,41,23,3,10.67
2112,1990,Engineering,Theoretical & Applied Mechans,57,3,54,30,0,0,1,0,18
1898,1989,Engineering,Computer Science,810,112,698,510,97,34,13,0,6.24
1897,1989,Engineering,Computer Engineering,313,27,286,227,50,20,9,1,10.6
1896,1989,Engineering,Civil Engineering,682,96,586,525,36,10,13,1,6.11
1892,1989,Engineering,Aerospace Engineering,513,53,460,407,37,17,26,1,8.68
1903,1989,Engineering,Electrical Engineering,1594,188,1406,1022,327,64,49,1,7.48
1905,1989,Engineering,Industrial Engineering,261,69,192,196,40,11,7,1,2.79
1909,1989,Engineering,Theoretical & Applied Mechans,63,5,58,34,2,1,1,0,11.6
1907,1989,Engineering,Mechanical Engineering,854,89,765,671,68,41,20,2,8.6
1664,1988,Engineering,Computer Science,844,125,719,557,88,22,12,1,5.76
1690,1988,Engineering,Aerospace Engineering,610,58,552,499,48,18,20,0,9.52
1701,1988,Engineering,Electrical Engineering,1864,219,1645,1241,385,68,52,3,7.52
1695,1988,Engineering,Computer Engineering,368,35,333,263,61,21,11,0,9.52
1694,1988,Engineering,Civil Engineering,641,97,544,503,29,11,10,0,5.61
1703,1988,Engineering,Industrial Engineering,209,63,146,164,22,12,8,0,2.32
1705,1988,Engineering,Mechanical Engineering,971,117,854,784,68,38,24,2,7.3
1707,1988,Engineering,Theoretical & Applied Mechans,57,5,52,27,3,0,1,0,10.4
1495,1987,Engineering,Computer Science,836,135,701,593,77,18,8,2,5.2
1494,1987,Engineering,Computer Engineering,407,33,374,318,49,18,8,0,11.34
1493,1987,Engineering,Civil Engineering,567,93,474,430,20,11,13,0,5.1
1490,1987,Engineering,Aerospace Engineering,655,60,595,551,42,16,20,0,9.92
1500,1987,Engineering,Electrical Engineering,2004,240,1764,1384,391,61,47,2,7.35
1502,1987,Engineering,Industrial Engineering,201,61,140,159,18,11,9,0,2.3
1507,1987,Engineering,Theoretical & Applied Mechans,58,5,53,29,4,0,1,0,10.6
1504,1987,Engineering,Mechanical Engineering,1006,119,887,836,60,32,24,2,7.46
1294,1986,Engineering,Computer Science,899,169,730,675,73,23,9,1,4.32
1293,1986,Engineering,Computer Engineering,463,56,407,368,55,19,8,0,7.27
1292,1986,Engineering,Civil Engineering,553,83,470,406,20,13,13,0,5.67
1289,1986,Engineering,Aerospace Engineering,599,59,540,531,29,12,11,0,9.16
1299,1986,Engineering,Electrical Engineering,2041,228,1813,1476,361,51,42,1,7.96
1301,1986,Engineering,Industrial Engineering,202,69,133,165,8,18,7,0,1.93
1306,1986,Engineering,Theoretical & Applied Mechans,45,4,41,25,1,0,0,0,10.25
1303,1986,Engineering,Mechanical Engineering,1010,114,896,876,48,21,20,2,7.86
1061,1985,Engineering,Computer Science,908,193,715,705,86,19,5,0,3.71
1092,1985,Engineering,Computer Engineering,501,65,436,408,60,21,6,0,6.71
1091,1985,Engineering,Civil Engineering,529,77,452,406,19,8,10,0,5.88
1087,1985,Engineering,Aerospace Engineering,618,61,557,553,35,10,9,0,9.14
1105,1985,Engineering,Theoretical & Applied Mechans,50,4,46,29,2,0,0,0,11.5
1102,1985,Engineering,Mechanical Engineering,968,99,869,836,46,23,21,0,8.78
1100,1985,Engineering,Industrial Engineering,158,49,109,134,3,14,4,0,2.23
1098,1985,Engineering,Electrical Engineering,1945,234,1711,1439,324,49,38,4,7.32
859,1984,Engineering,Computer Science,934,219,715,756,59,19,7,0,3.27
888,1984,Engineering,Civil Engineering,552,83,469,434,23,7,6,1,5.66
885,1984,Engineering,Aerospace Engineering,495,50,445,443,28,6,10,0,8.9
889,1984,Engineering,Computer Engineering,484,76,408,402,50,24,5,0,5.37
902,1984,Engineering,Theoretical & Applied Mechans,50,2,48,30,3,0,0,0,24
899,1984,Engineering,Mechanical Engineering,879,86,793,750,49,19,16,1,9.23
897,1984,Engineering,Industrial Engineering,135,46,89,114,5,7,7,0,1.94
895,1984,Engineering,Electrical Engineering,1755,212,1543,1351,241,50,26,3,7.28
690,1983,Engineering,Computer Science,1052,273,779,860,77,19,11,0,2.86
689,1983,Engineering,Computer Engineering,426,78,348,350,46,26,2,0,4.47
688,1983,Engineering,Civil Engineering,611,94,517,487,29,8,10,1,5.5
684,1983,Engineering,Aerospace Engineering,473,45,428,425,24,5,10,1,9.52
695,1983,Engineering,Electrical Engineering,1657,182,1475,1310,187,55,30,1,8.11
702,1983,Engineering,Theoretical & Applied Mechans,46,4,42,24,4,0,0,0,10.5
699,1983,Engineering,Mechanical Engineering,867,78,789,743,45,25,16,1,10.12
697,1983,Engineering,Industrial Engineering,154,52,102,133,8,5,6,0,1.97
490,1982,Engineering,Computer Science,966,245,721,800,74,18,8,2,2.95
489,1982,Engineering,Computer Engineering,357,56,301,307,30,12,3,0,5.38
488,1982,Engineering,Civil Engineering,672,104,568,559,23,5,13,1,5.47
484,1982,Engineering,Aerospace Engineering,481,38,443,425,30,6,6,1,11.66
495,1982,Engineering,Electrical Engineering,1512,159,1353,1227,144,52,18,2,8.51
502,1982,Engineering,Theoretical & Applied Mechans,52,4,48,28,4,0,0,0,12
499,1982,Engineering,Mechanical Engineering,954,86,868,836,44,27,18,1,10.1
497,1982,Engineering,Industrial Engineering,180,56,124,152,13,6,6,0,2.22
293,1981,Engineering,Computer Engineering,323,48,275,286,20,9,4,1,5.73
292,1981,Engineering,Civil Engineering,811,110,701,663,24,12,15,1,6.38
288,1981,Engineering,Aerospace Engineering,435,30,405,387,21,8,3,1,13.5
294,1981,Engineering,Computer Science,829,206,623,689,64,17,6,2,3.03
299,1981,Engineering,Electrical Engineering,1561,159,1402,1296,121,37,19,1,8.82
306,1981,Engineering,Theoretical & Applied Mechans,50,5,45,25,4,0,0,0,9
303,1981,Engineering,Mechanical Engineering,1021,82,939,910,44,17,12,1,11.46
301,1981,Engineering,Industrial Engineering,188,53,135,167,8,6,5,0,2.55
97,1980,Engineering,Aerospace Engineering,379,28,351,339,16,7,3,1,12.54
101,1980,Engineering,Civil Engineering,902,110,792,733,14,12,12,3,7.2
102,1980,Engineering,Computer Engineering,286,34,252,251,17,8,2,3,7.42
103,1980,Engineering,Computer Science,697,153,544,576,43,15,2,1,3.56
108,1980,Engineering,Electrical Engineering,1645,148,1497,1376,118,50,16,2,10.12
114,1980,Engineering,Theoretical & Applied Mechans,50,4,46,26,6,0,0,0,11.5
112,1980,Engineering,Mechanical Engineering,1012,78,934,887,42,17,12,2,11.98
110,1980,Engineering,Industrial Engineering,188,58,130,157,7,12,5,1,2.25
